simulation,RandomForest_acc,RandomForest_features,XGBoost_acc,XGBoost_features,LassoNet_acc,LassoNet_features,LASSO_QUT_acc,LASSO_QUT_features,HarderLASSO_QUT_acc,HarderLASSO_QUT_features,LASSO_CV_acc,LASSO_CV_features,linear_LASSO_QUT_acc,linear_LASSO_QUT_features,linear_HarderLASSO_QUT_acc,linear_HarderLASSO_QUT_features
0,0.9670039595248572,"7,8,9,15,16,17,18,22,34,36,37,39,42,53,56,64,65,77,85,87,89,90,91,92,94",0.9661240651121864,"8,9,34,36,39,42,56,59,67,89",0.9665640123185216,"2,3,4,6,7,9,10,11,12,13,14,17,18,20,21,22,23,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,89,90,91,92,94",0.9626044874615046,"18,36,37,53,85",0.9648042234931808,"18,36,49",0.9661240651121864,"1,2,18,31,36,37,42,44,48,49,50,53,54,56,64,73,82,83,85",0.9656841179058512,"1,36,37,85",0.9630444346678398,"18,36"
1,0.9714034315882094,"8,15,16,17,18,22,34,36,37,39,42,53,56,61,64,85,87,89,90,91,92,94",0.9665640123185216,"2,14,15,18,34,39,42,48,56,68,85,89",0.9661240651121864,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94",0.9678838539375276,"0,2,36,37,53,85",0.9678838539375276,"18,36",0.9678838539375276,,0.970523537175539,"36,37,85",0.9700835899692036,"18,37"
2,0.9740431148262207,"8,15,17,18,22,34,36,37,39,42,56,64,68,85,87,89,90,91,92,94",0.968763748350198,"6,8,9,14,39,53,67,85,89",0.9683238011438629,"0,2,7,10,13,14,17,18,23,26,28,29,32,34,35,36,37,38,39,40,44,45,46,47,48,49,50,52,53,55,56,57,58,59,61,63,64,66,67,68,69,70,71,73,75,76,78,79,81,82,83,84,85,86,89,91,94",0.9678838539375276,"0,2,18,36,37,53,64,85",0.9678838539375276,"37,85",0.9700835899692036,"2,14,18,36,37,42,43,44,48,50,56,58,64,75,80,82,85",0.9696436427628684,"36,37,85",0.9692036955565332,18
3,0.9692036955565332,"8,15,16,17,18,22,34,36,37,39,42,56,68,85,87,89,90,91,92,94",0.9670039595248572,"18,36,37,39,56,65,67,85,89,91",0.9670039595248572,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94",0.9678838539375276,"0,2,18,36,37,53,85",0.9678838539375276,"36,49,85",0.9692036955565332,"1,2,14,18,31,36,37,42,44,45,48,49,50,54,56,58,64,69,75,82,84,85",0.9683238011438629,"1,36,37,85",0.9678838539375276,"18,36"
4,0.9692036955565332,"1,2,15,16,17,18,22,34,36,37,39,42,53,56,64,85,89,91,92,94",0.968763748350198,"0,6,11,16,18,22,28,34,39,40,42,53,56,59,68,89,91,92",0.968763748350198,"0,1,2,13,14,18,28,32,34,36,37,38,39,43,44,47,48,50,52,53,58,59,63,64,66,67,69,70,71,75,76,79,81,82,84,85,89",0.9656841179058512,"18,36,37,53,58,64,85",0.9678838539375276,"36,58,85",0.9692036955565332,"2,14,15,18,36,37,42,44,49,53,58,64,75,80,82,85",0.9665640123185216,"36,37,85",0.9678838539375276,18
5,0.9692036955565332,"0,8,15,16,17,18,22,34,36,37,39,42,56,61,64,68,85,89,90,91,92,94",0.9661240651121864,"8,18,19,20,31,36,37,39,42,67,68,89,92",0.9683238011438629,"0,2,8,18,23,36,37,44,47,48,59,63,76,85",0.9678838539375276,"18,36,37,85",0.9678838539375276,"37,85",0.9661240651121864,"2,3,4,10,11,12,14,15,16,18,19,20,21,23,26,31,33,34,35,36,37,38,39,41,42,43,44,45,47,48,49,50,51,53,54,55,56,57,58,61,62,63,64,67,69,70,73,76,78,79,80,84,85,86,88,89,91,92,94",0.965244170699516,"18,36,37,85",0.9661240651121864,18
6,0.9727232732072152,"8,15,17,18,22,34,36,37,39,42,53,56,61,64,85,89,90,91,92,94",0.9648042234931808,"0,8,36,39,42,51,67,74,85,89",0.9696436427628684,"2,36,37,53,85",0.9678838539375276,"0,2,36,37,53,85",0.9678838539375276,"36,85",0.9678838539375276,,0.9696436427628684,"36,37,85",0.9692036955565332,"37,85"
7,0.9709634843818742,"1,2,7,8,9,15,16,17,18,22,34,36,37,39,42,53,56,64,68,85,87,89,90,91,92,94",0.9639243290805104,"2,18,39,67,68,72,85,87,89",0.968763748350198,"0,1,2,13,18,36,37,44,48,53,58,59,61,63,64,67,75,76,78,83,85,89",0.9678838539375276,"2,18,36,37,53,58,64,85",0.9678838539375276,"36,49,85",0.9692036955565332,"2,14,18,36,37,44,48,50,54,56,58,64,75,82,84,85",0.9674439067311924,"36,37,85",0.9683238011438629,"18,37"
8,0.9714034315882094,"1,8,9,15,16,17,18,22,34,36,37,39,42,56,64,85,89,90,91,92,94",0.9639243290805104,"0,8,9,37,39,67,74,82,89",0.9656841179058512,"0,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,94",0.9678838539375276,"2,36,37,53,78,85",0.9678838539375276,"36,85",0.9670039595248572,"0,2,18,36,37,42,44,48,50,54,58,75,78,79,80,82,85",0.9661240651121864,"36,37,85",0.9661240651121864,"37,85"
9,0.9700835899692036,"1,8,17,18,22,34,36,37,39,42,56,61,64,85,87,89,90,91,92,94",0.9626044874615046,"0,9,18,22,36,39,56,67,85,87,91,92",0.9678838539375276,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94",0.9634843818741752,"1,18,36,37,78,83,85",0.9678838539375276,"37,85",0.9665640123185216,"0,2,18,31,36,37,42,44,45,48,56,58,64,69,82,83,85",0.9656841179058512,"1,36,37,85",0.9626044874615046,"18,36"
10,0.9709634843818742,"8,9,15,16,17,18,22,34,36,37,39,42,53,56,64,72,89,90,91,92,94",0.9683238011438629,"1,8,39,42,67,79,85,89",0.9674439067311924,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94",0.9678838539375276,"18,36,37,53,85",0.9700835899692036,"18,37,49",0.970523537175539,"0,2,3,4,10,12,13,14,15,18,19,20,21,23,26,27,28,31,33,34,36,37,39,40,41,42,43,44,45,46,48,49,50,51,55,56,58,59,61,63,64,69,70,71,72,73,74,75,76,78,79,81,82,83,84,85,86,87,88,89,91,94",0.970523537175539,"36,37,39,85",0.9678838539375276,"18,36"
11,0.9692036955565332,"1,8,9,15,16,17,18,22,34,36,37,39,42,53,56,64,83,85,87,89,90,91,92,94",0.9674439067311924,"0,1,8,9,15,36,39,56,74,85,89,91",0.9674439067311924,"0,1,2,13,17,18,28,29,32,36,37,44,48,49,52,55,59,61,63,68,70,75,76,81,83,84,85,89",0.9608446986361636,"18,36,37,53,78,83,85",0.9678838539375276,"18,37",0.9674439067311924,"18,33,36,37,44,48,50,53,54,56,58,75,82,83,85",0.9648042234931808,"36,37,83,85",0.965244170699516,"18,36"
12,0.9678838539375276,"0,2,8,9,15,16,17,18,22,34,36,37,39,42,56,85,89,90,91,92,94",0.957765068191817,"0,9,18,20,36,39,44,89",0.9643642762868456,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94",0.9678838539375276,"0,18,36,37,53,58,83,85",0.9639243290805104,"0,36,49,58",0.9683238011438629,"0,14,18,31,36,37,43,44,48,50,54,56,58,64,75,80,82,85",0.9665640123185216,"36,37,85",0.9678838539375276,18
13,0.9683238011438629,"8,15,16,17,18,22,30,34,36,37,39,42,53,56,64,68,85,89,90,91,92,94",0.9683238011438629,"0,6,17,18,34,36,39,68,85,91",0.9665640123185216,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94",0.9678838539375276,"1,18,36,37,64,83,85",0.9678838539375276,"37,85",0.968763748350198,"1,2,14,18,36,37,42,44,48,50,53,54,56,64,69,75,82,85",0.9674439067311924,"36,37,85",0.9661240651121864,"18,37"
14,0.9692036955565332,"0,2,8,9,15,16,17,18,22,34,36,37,39,42,56,64,85,89,90,91,92,94",0.970523537175539,"9,18,36,39,42,47,56,85,89,91",0.9696436427628684,"2,18,36,37,85",0.9678838539375276,"0,2,18,36,37,53,78,85",0.9678838539375276,"18,36,85",0.9670039595248572,"2,14,18,36,37,44,48,54,56,58,75,85",0.9661240651121864,"36,37,78,85",0.965244170699516,"18,36"
15,0.9692036955565332,"8,15,16,17,18,22,34,36,37,39,42,53,56,64,67,85,89,90,91,92,94",0.9643642762868456,"15,18,30,36,39,56,67,68,89,92",0.9674439067311924,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,89,90,91,92,94",0.9678838539375276,"0,1,2,18,36,37,53,78,83,85",0.9678838539375276,"36,85",0.9670039595248572,"0,1,2,15,18,33,36,37,39,42,44,45,48,50,54,56,64,75,78,83,85",0.9670039595248572,"1,36,37,85",0.9661240651121864,18
16,0.970523537175539,"0,2,8,9,15,16,17,18,22,34,36,37,39,42,53,56,64,72,85,87,89,90,91,92,94",0.9692036955565332,"8,18,39,67,85,89,91",0.9692036955565332,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94",0.9665640123185216,"2,18,36,37,53,64,85",0.9678838539375276,"37,85",0.9674439067311924,"2,18,36,37,42,43,44,48,49,53,54,58,73,75,80,82,85",0.9665640123185216,"36,37,85",0.9661240651121864,"18,37"
17,0.9665640123185216,"1,8,15,18,22,34,36,37,39,42,53,56,64,68,85,87,89,91,92,94",0.9634843818741752,"7,8,9,18,37,39,53,74,85,89",0.9692036955565332,"0,1,2,18,36,37,53,58,59,75,83,85",0.9678838539375276,"2,36,37,53,64,85",0.9678838539375276,"37,64,85",0.9692036955565332,"1,2,18,22,36,37,42,44,48,53,54,58,64,69,75,80,83,84,85",0.9678838539375276,"1,36,37,65,77,85",0.9674439067311924,18
18,0.9714034315882094,"0,1,2,8,9,15,16,17,18,22,30,34,36,37,39,42,53,56,85,89,90,91,92,94",0.9692036955565332,"1,2,8,16,18,37,39,67,89",0.9661240651121864,"0,1,2,13,20,25,28,36,37,44,47,48,49,50,52,53,55,58,59,63,64,66,67,68,75,76,78,81,84,85",0.9692036955565332,"1,2,18,36,37,58,64,85",0.9678838539375276,"37,58,85",0.9674439067311924,"2,3,4,5,6,10,11,12,15,16,17,18,19,21,23,24,25,26,27,28,29,31,33,34,36,37,38,39,41,43,44,45,46,48,49,50,51,53,54,55,56,57,58,60,61,62,63,64,66,67,73,74,75,76,79,80,82,84,85,86,87,88,89,91,94",0.9670039595248572,"36,37,85",0.9696436427628684,18
19,0.9696436427628684,"0,2,15,16,17,18,22,34,36,37,39,42,53,56,61,64,85,89,90,91,92,94",0.9656841179058512,"1,9,14,17,18,36,39,42,56,59,60,61,67,85,89,91",0.9656841179058512,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94",0.9678838539375276,"2,36,37,53,83,85",0.9678838539375276,"2,36,53,64",0.968763748350198,"2,14,18,36,37,42,43,44,48,49,50,54,58,64,75,82,83,85",0.9678838539375276,"36,37,85",0.9674439067311924,18
20,0.9696436427628684,"2,15,16,17,18,22,34,36,37,39,42,56,64,85,87,89,90,91,92,94",0.9700835899692036,"1,2,8,39,67,68,80,85,89,92",0.9683238011438629,"1,2,36,37,48,53,59,64,85",0.9678838539375276,"0,2,36,37,53,64,85",0.9678838539375276,"37,85",0.9678838539375276,"0,2,18,33,36,37,42,43,44,45,48,54,58,64,73,80,85",0.9678838539375276,"36,37,85",0.9665640123185216,18
21,0.9709634843818742,"8,9,15,16,17,18,22,34,36,37,39,42,56,64,85,89,90,91,92,94",0.9683238011438629,"2,8,9,18,30,36,39,51,56,80,85,89",0.9692036955565332,"1,2,18,23,36,37,39,48,53,61,64,67,85",0.9678838539375276,"18,36,37,53,85",0.9678838539375276,"36,37,85",0.9678838539375276,,0.9692036955565332,"36,37,85",0.9678838539375276,18
22,0.9692036955565332,"0,1,8,9,15,16,17,18,22,34,36,37,39,42,53,56,61,64,68,85,87,89,91,92,94",0.9696436427628684,"7,8,9,18,34,36,39,56,85",0.9674439067311924,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94",0.965244170699516,"18,36,37,53,78,85",0.9678838539375276,"37,85",0.9674439067311924,"0,18,36,37,42,43,44,48,49,50,53,58,64,75,80,82,85",0.9665640123185216,"36,37,85",0.9648042234931808,"18,37"
