simulation,RandomForest_mse,RandomForest_features,XGBoost_mse,XGBoost_features,LassoNet_mse,LassoNet_features,HarderLASSO_l1_mse,HarderLASSO_l1_features,HarderLASSO_nu_mse,HarderLASSO_nu_features
0,99.40018563642917,"6,8,22,25,27,30",69.22615622645104,"6,8,22,25,27,30",12.426518802897645,"0,2,3,4,6,7,8,10,12,13,14,15,17,19,20,21,22,23,25,27,28,29,30,33,35,36,37,40,41,42,43,44,46,47,48",234.09866139397872,,0.04657477700531838,"6,8,22,25,27,30"
1,109.26428392969828,"3,13,14,23,27,28,38",74.30807127931094,"3,14,23,27,28,38",12.639419943739325,"0,3,4,5,6,7,9,11,13,14,17,19,20,23,24,25,27,28,33,35,37,38,39,40,42,45,47",224.40412539880387,,0.036870626679214626,"3,14,23,27,28,38"
2,84.84209101370064,"3,7,13,26,31,33",58.50452324655025,"3,7,13,26,31,33",5.703512520602993,"0,2,3,4,5,6,7,8,9,10,13,16,18,19,20,21,22,23,24,26,27,29,30,31,33,36,37,43,45,46,47,48,49",206.85068472946983,,0.07196019970310037,"3,7,13,26,31,33"
3,90.48421936945827,"4,10,12,27,32,41",63.26363763427362,"4,10,12,27,32,41",14.10963286426316,"0,1,2,3,4,5,6,7,10,11,12,15,16,19,20,21,22,23,24,25,26,27,29,30,31,32,33,34,35,36,39,40,41,42,45,47,48,49",219.4252199644193,,0.05728151161241289,"4,10,12,27,32,41"
4,85.4029129761637,"0,10,23,35,42,48",65.86786211616655,"0,10,23,35,42,48",3.8139805760841727,"0,1,3,5,10,12,13,16,17,21,22,23,25,26,27,30,31,35,42,45,48",226.7282382115226,,0.10531723243158995,"0,10,23,35,42,48"
5,91.59356654152883,"11,14,22,31,38,47",63.69342668504213,"11,14,22,31,38,47",16.39360606701643,"0,2,3,5,7,9,10,11,13,14,16,17,18,20,22,25,26,27,28,31,32,34,36,37,38,40,41,44,45,46,47,48,49",214.89848232415528,,0.07862197874616576,"11,14,22,31,38,47"
6,93.9527333260425,"6,21,24,28,41,47",62.786392307716085,"6,21,24,28,41,47",25.642071250157723,"0,3,5,6,10,11,12,13,14,15,17,18,19,20,21,22,23,24,27,28,30,31,32,33,34,35,38,39,40,41,43,44,46,47,48",229.843501311934,,0.10754837362375773,"6,21,24,28,41,47"
7,78.79862933684277,"0,11,20,30,33,39",105.19701783493664,"11,20,30,33,39",5.745892325744143,"0,9,11,17,20,24,30,33,34,35,39,44",207.83272232886247,,0.07063705229565785,"0,11,20,30,33,39"
8,83.58734855107902,"13,25,31,34,36,49",63.84637701333492,"13,25,31,34,36,49",5.7264328184823645,"0,3,4,5,10,12,13,14,17,18,19,20,23,24,25,28,30,31,32,33,34,35,36,37,38,41,42,43,44,47,48,49",191.93740636755908,"25,31",0.07216502419403573,"13,25,31,34,36,49"
9,81.60946950932036,"12,14,20,22,25,39",62.73226444015616,"12,14,20,22,25,39",9.559060731161331,"3,5,7,8,9,10,12,14,16,17,20,22,23,24,25,28,29,30,36,37,38,39,40,42,44,47,49",214.17466543202846,,0.08429827071849756,"12,14,20,22,25,39"
10,88.24106037893371,"14,16,22,30,43,46,47,49",58.536038516127626,"14,16,22,43,46,47",19.277872249028164,"4,5,6,9,13,14,16,17,18,19,22,23,24,25,28,30,31,34,36,37,39,41,42,43,45,46,47,48,49",194.30098993780888,"14,46",0.07243028365935973,"14,16,22,43,46,47"
11,104.28272466616772,"7,13,16,19,21,27,28,32,42",62.10801209876027,"7,13,16,21,27,28",27.915171203507924,"0,1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21,22,23,24,27,28,30,31,32,34,35,36,37,38,39,40,42,44,45,47,48,49",230.92448195244774,,0.11761906918944016,"7,13,16,21,27,28"
12,92.37737344203472,"0,8,15,18,38,39,44",108.9684835707764,"15,18,38,39,44",7.164610081219286,"0,1,2,3,4,6,7,8,9,10,13,15,16,17,18,21,22,26,30,33,34,37,38,39,43,44,47",220.8435731960099,,0.08480581518697596,"0,15,18,38,39,44"
13,87.88394627381786,"4,6,7,31,32,45",57.70765446504422,"4,6,7,31,32,45",8.701302185088466,"0,3,4,6,7,8,9,10,11,12,13,18,19,21,22,24,26,27,28,31,32,33,35,38,39,40,41,42,43,44,45,46,47,49",227.34678918493455,,0.07221975927628403,"4,6,7,31,32,45"
14,96.97778978042709,"0,3,9,16,37,38,43",111.9808485950315,"3,9,37,38,43",28.895741887107675,"0,1,3,4,6,7,9,10,11,12,14,15,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,35,36,37,38,42,43,45,46,47,48,49",223.4814449214004,0,0.09677365233679285,"0,3,9,37,38,43"
15,91.55717282696044,"2,15,22,30,39,43,46",113.7920740272777,"22,30,39,43,46",16.244063754969183,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,41,42,43,44,45,46,47,48,49",207.87043253432134,"22,30",0.16414420563169235,"15,22,30,39,43,46"
16,88.04805156161129,"9,10,13,22,32,42",63.55283478242846,"9,10,13,22,32,42",11.63562194225953,"0,1,3,4,5,7,8,9,10,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,28,29,30,31,32,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",217.9579836235133,,0.081406601313725,"9,10,13,22,32,42"
17,100.50103873151444,"4,9,10,11,12,21,26,32,46,48",103.31602972538246,"10,12,21,26,48",22.898380361868192,"0,1,2,3,4,6,8,9,10,11,12,13,14,15,16,17,18,19,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,39,40,41,42,43,44,45,46,47,48,49",194.7356176881127,"21,26",0.09573295572534503,"9,10,12,21,26,48"
18,89.277648533945,"15,18,32,35,40,49",59.120512750171194,"15,18,32,35,40,49",6.494564748098748,"5,14,15,18,24,25,31,32,33,35,36,37,38,39,40,41,45,47,49",217.95577299290227,,0.061011559560093465,"15,18,32,35,40,49"
19,82.93442512855681,"7,16,24,30,33,49",55.68359517598963,"7,16,24,30,33,49",11.318042160449489,"1,2,3,5,7,8,9,10,11,16,17,18,20,22,23,24,26,27,28,29,30,31,32,33,34,35,37,45,46,47,49",198.6748061714722,,0.14087711698977143,"7,16,24,30,33,49"
20,94.67349620840247,"10,13,19,31,39,46,48",57.283055731585264,"13,19,31,39,46,48",20.962119235496868,"0,1,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32,34,38,39,40,41,43,44,46,48,49",224.64413721675518,,0.04675085513128701,"13,19,31,39,46,48"
21,99.54878049981512,"0,8,12,18,21,22,23,47",96.01463830464505,"12,18,22,23,47",6.306125861360726,"0,1,2,12,14,17,18,21,22,23,25,26,28,31,35,36,41,43,45,46,47,49",213.24436735201755,,0.08426900545824227,"0,12,18,22,23,47"
22,91.33200535272302,"0,3,4,15,28,40,41",98.48120955168801,"3,4,28,40,41",22.80829263497462,"0,1,2,3,4,5,7,9,10,11,12,14,15,16,17,18,19,24,25,27,28,29,32,33,34,35,36,37,38,40,41,42,44,45,48,49",199.50830313790584,"0,40",0.07700609821414973,"0,3,4,28,40,41"
23,82.10999593821484,"2,5,13,26,41,45",107.0723578850485,"5,13,26,41,45",20.196080024135373,"1,2,5,6,13,16,17,19,21,26,28,29,33,38,41,42,43,45,47",188.61475447067252,"2,13,41",0.048912053980341014,"2,5,13,26,41,45"
24,88.7755337531788,"12,17,28,36,41,43",60.797723376235474,"12,17,28,36,41,43",19.55350267465805,"0,1,2,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,47,48,49",191.54861771650098,"12,43",0.0925006615880548,"12,17,28,36,41,43"
25,96.71681733808434,"0,22,26,27,31,34,48",125.81798587223072,"22,26,31,34,48,49",18.517619115031714,"0,1,2,3,6,8,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,30,31,32,33,34,36,37,38,40,41,43,45,46,47,48,49",225.9703429541571,,0.05016641790242317,"0,22,26,31,34,48"
26,96.3064237670733,"4,12,16,21,23,37",63.72058906599301,"4,12,16,21,23,37",6.113343373510525,"3,4,5,7,8,11,12,15,16,18,19,20,21,23,28,29,31,33,34,35,36,37,42,43,45,48",228.95959078881316,"4,12",0.08210879897217918,"4,12,16,21,23,37"
27,88.33660534599592,"31,35,38,39,41,42,45",59.5076965237769,"31,35,38,41,42,45",8.615846645844096,"2,3,4,5,6,7,8,10,11,12,13,14,15,17,18,19,20,21,22,23,25,27,28,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,48,49",216.97116698099583,,0.08451444069151323,"31,35,38,41,42,45"
28,97.17656296624295,"13,18,24,26,36,43",57.57304133294625,"13,18,24,26,36,43",23.606586845001686,"0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,28,29,30,31,32,33,34,35,36,37,38,40,41,43,44,45,46,47,48,49",221.64372578717519,,0.08945803087243212,"13,18,24,26,36,43"
29,108.25516024263719,"2,6,8,12,24,26,44",67.51545779578737,"2,6,8,12,26,44",14.22874864736374,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,20,22,23,24,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,48,49",230.34293112941674,,0.106998689727649,"2,6,8,12,26,44"
30,91.49167386421186,"13,15,30,38,40,41,49",64.80813392568402,"13,15,30,38,40,41,49",6.033665257495126,"0,1,2,3,4,6,7,8,9,11,13,15,17,18,19,20,21,22,24,25,27,29,30,32,33,35,36,37,38,39,40,41,43,44,46,49",181.1451368042305,"13,30",0.07910242094173846,"13,15,30,40,41,49"
31,88.79519366086845,"2,10,14,15,17,18",67.19246892155029,"2,10,14,15,17,18",20.433338491065086,"0,2,3,4,7,9,10,11,14,15,16,17,18,20,21,22,23,24,26,27,28,29,30,31,32,33,36,38,40,42,44,45,46,47,49",233.10768198538108,,0.15479854353193964,"2,10,14,15,17,18"
32,90.18588206870854,"11,29,34,41,47,49",113.15026060037286,"29,34,41,47,49",5.447323165448595,"0,1,2,5,11,16,19,20,24,25,29,30,32,34,39,41,44,47,49",213.24526164857247,,0.09452289790368736,"11,29,34,41,47,49"
33,94.30678634677987,"2,5,16,17,18,32,36",118.1539209252308,"16,18,32,36",11.756166253297746,"1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,25,26,28,32,33,34,36,39,40,41,42,43,44,47,48,49",221.6079535458836,18,0.10097685388935679,"2,5,16,18,32,36"
34,89.85954167471567,"0,3,6,8,24,29,37",107.78774971911943,"3,6,8,24,37",8.83729580970481,"0,1,3,5,6,8,9,13,14,16,23,24,25,26,27,30,34,37,38,40,46,47,49",213.6311954095608,,0.0673891168530676,"0,3,6,8,24,37"
35,91.03400115706509,"0,23,26,27,28,36",104.43937286398756,"23,26,27,28,36",25.074060133277328,"0,1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",220.64612085104054,26,0.09305882121466084,"0,23,26,27,28,36"
36,83.07810167178573,"3,8,18,21,30,43",51.169352084817646,"3,8,18,21,30,43",25.206192526840844,"0,1,2,3,4,5,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,26,27,28,29,30,31,32,33,34,35,37,39,40,41,42,43,44,45,46,47,48,49",198.33722447858167,,0.060019613920430856,"3,8,18,21,30,43"
37,93.99174436830437,"1,7,11,13,21,26,29",60.878388947563735,"1,7,11,13,21,26",11.297602083162559,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,49",221.22891955412513,,0.10696873004134846,"1,7,11,13,21,26"
38,82.96609873661134,"14,23,24,30,36,47",59.04198237957129,"14,23,24,30,36,47",13.159534972335852,"1,2,4,6,7,8,9,10,11,12,13,14,15,17,19,20,21,22,23,24,26,27,30,31,32,33,34,35,36,37,39,40,41,42,45,46,47,48",211.1760558621765,47,0.10505288894332993,"14,23,24,30,36,47"
39,82.34658097515779,"2,8,10,20,31,37",54.17321924317501,"2,8,10,20,31,37,42",9.214995328694133,"1,2,3,4,5,6,7,8,9,10,11,13,14,15,18,20,21,22,23,24,25,27,28,29,30,31,32,34,35,36,37,38,39,40,41,42,43,44,45,46,48,49",184.58403396310845,"10,31",0.05714830856415427,"2,8,10,20,31,37"
40,96.60188970735285,"0,19,23,27,36,37",106.34928006798847,"19,23,27,36,37",13.8166215286906,"0,1,3,4,6,7,8,10,12,13,14,15,16,19,20,21,22,23,24,26,27,28,29,30,32,33,34,36,37,38,39,41,42,44,47,49",220.18002718457404,37,0.0534692922954427,"0,19,23,27,36,37"
41,108.62000986860274,"2,6,8,13,15,25,26,31,41,48",66.31580026816577,"8,13,15,25,31,41",16.231534105499122,"0,2,4,6,7,8,9,10,11,12,13,14,15,17,20,21,22,25,26,27,29,30,31,32,33,34,36,37,38,39,40,41,42,44,45,47,48,49",238.2589253493638,,0.125796090641491,"8,13,15,25,31,41"
42,99.5768140981371,"3,6,18,32,40,42,47,49",66.44263779665884,"3,6,18,32,42,47,49",18.606544409975992,"0,1,2,3,4,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",147.12779272969306,"3,6,42",0.1127511437815532,"3,6,18,32,42,47"
43,102.23742391534991,"13,16,19,26,39,40,42",69.53931323317144,"13,16,19,26,39,40,42,44",24.901675795220573,"0,1,2,4,5,6,8,9,10,13,14,15,16,17,19,21,22,23,26,27,29,31,33,34,36,38,40,41,42,44,46,47,48,49",232.12032419117736,,0.0604164655125525,"13,16,19,26,40,42"
44,95.22601695875375,"0,32,35,44,47,48",107.49538628437995,"32,35,44,47,48",4.480480795538118,"0,1,2,3,4,5,9,12,15,21,22,23,24,26,27,29,32,33,35,38,39,40,41,44,45,46,47,48,49",232.55963317286006,,0.07850798592630079,"0,32,35,44,47,48"
45,102.46645093471575,"5,8,10,19,24,31,40,49",64.12016240349728,"5,8,10,19,24,31",7.158125527244077,"0,2,4,5,6,8,10,15,16,17,19,20,22,24,26,27,29,30,31,33,35,36,39,43,45,49",196.98217543981613,"5,24",0.0932830883352387,"5,8,10,19,24,31"
46,89.37006843750167,"1,4,7,20,25,39",67.32595682762029,"1,4,7,20,25,39",5.996797753151767,"0,1,2,3,4,7,9,11,13,14,15,17,20,23,25,26,28,30,31,32,35,36,37,38,39,44,46,47,48,49",227.80634397173029,,0.09117083424787067,"1,4,7,20,25,39"
47,79.45232778169662,"7,9,23,31,38,41",53.8615304005059,"7,9,23,31,38,41",10.388529893951254,"1,2,5,6,7,9,11,12,15,16,18,19,21,23,24,25,26,27,28,31,36,37,38,39,40,41,42,44,48",186.3180796738438,"7,38",0.07601712889870768,"7,9,23,31,38,41"
48,94.86339366116036,"3,9,15,18,26,33,48",112.41068120533787,"15,18,26,33,48",11.189291010974442,"1,2,3,4,7,8,9,10,12,13,14,15,16,18,19,23,24,25,26,27,29,30,32,33,34,35,36,37,39,42,44,45,46,47,48,49",219.48543477498026,,0.08134698737168103,"9,15,18,26,33,48"
49,96.30145163028266,"6,9,12,19,25,29,47",59.744754622314495,"6,9,19,25,29,47",13.938412207804134,"1,2,3,4,6,7,8,9,10,12,16,17,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,39,42,44,45,47,48,49",214.01738953644963,,0.06071011932294833,"6,9,19,25,29,47"
50,101.44719323444099,"11,17,19,23,31,41,44,48",59.74281407591536,"11,17,23,31,41,44,48",5.240610287778877,"0,2,3,5,7,8,10,11,16,17,19,23,24,25,26,28,31,32,33,34,36,38,39,40,41,42,43,44,45,47,48,49",205.73614872709115,,0.06012070071984196,"11,17,23,31,41,48"
51,84.6344599361496,"9,17,19,24,27,34,35",53.678800780253866,"9,17,19,24,27,34",25.364576975900274,"0,1,2,3,4,5,6,7,9,10,11,12,13,15,16,17,19,22,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,43,44,45,46,47,49",209.5950991810951,,0.09436553964073369,"9,17,19,24,27,34"
52,91.230241829272,"7,10,21,23,31,34,36",67.9211248811898,"7,21,23,31,34,36",11.288987498845291,"0,1,3,4,6,7,8,9,10,12,14,16,18,19,20,21,22,23,25,26,28,29,30,31,32,33,34,35,36,38,42,44,45,46,47,48,49",224.24068059205192,,0.129307272100721,"7,21,23,31,34,36"
53,98.04863403218006,"0,8,10,11,28,32,43,46",113.35616307171074,"10,11,28,32,43,46",23.632290454706826,"0,1,2,3,5,6,7,8,10,11,12,16,18,19,20,21,23,24,25,26,27,30,31,32,33,34,36,37,39,41,42,43,44,45,46,48,49",232.7868648350544,43,0.08578036749989311,"0,10,11,32,43,46"
54,97.32977862010242,"13,25,32,42,44,45,46,48",66.48056387570028,"13,25,42,44,45,46,48",15.520079721967805,"3,4,5,6,7,9,10,11,12,13,15,16,17,18,20,21,22,23,24,25,27,28,29,31,32,34,35,36,37,38,40,41,42,43,44,46,47,48,49",209.59689009312902,,0.10963147701888579,"13,25,42,44,46,48"
55,92.08795437903662,"1,8,18,23,25,32",110.47729642349758,"8,18,23,25,32",21.849571300423676,"0,1,2,4,5,6,8,10,11,12,13,14,15,17,18,21,23,25,27,30,32,35,36,43,44,45,46,47,48,49",196.94272825016643,"8,32",0.0782229202112559,"1,8,18,23,25,32"
56,85.8057296237729,"6,27,34,37,39,46",57.2748121143105,"6,27,34,37,39,46",4.793580463317835,"1,2,3,4,6,8,10,11,12,18,23,27,29,31,33,34,37,38,39,41,42,46,47,48,49",225.55571734597459,,0.06004984094297642,"6,27,34,37,39,46"
57,94.45444011766507,"28,29,31,38,41,45,46",57.48392229900097,"28,29,38,41,45,46",3.688358086272496,"3,5,13,22,28,29,31,35,38,41,45,46",202.00165704587675,38,0.11346172331231434,"28,29,38,41,45,46"
58,83.05594538197215,"15,25,31,35,37,46",53.23254230705659,"15,25,31,35,37,46",11.056586039265758,"0,1,3,8,10,12,15,20,23,24,25,28,31,33,35,37,38,42,44,46,47",217.8154568432865,,0.12169479166547462,"15,25,31,35,37,46"
59,88.08608738093962,"1,4,11,16,34,37",53.721725652844526,"1,4,11,16,34,37",6.6751818221099475,"1,4,10,11,16,22,24,25,26,29,31,32,34,37,38,39,41",227.81623402607323,,0.11748953506278265,"1,4,11,16,34,37"
60,82.56819240956492,"6,19,25,26,31,37",65.9860838813978,"6,19,25,26,31,37,48",10.138161586264298,"1,2,4,6,7,10,11,13,14,17,19,25,26,30,31,32,33,36,37,38,39,40,41,42,43,44,45,46,48,49",227.42034352847958,,0.16574236022507854,"6,19,25,26,31,37"
61,102.45402160300998,"2,7,13,25,40,43,49",67.02382926434065,"2,7,25,40,43,49",11.515652035298682,"1,2,5,6,7,9,11,12,13,14,16,19,21,23,24,25,27,29,30,32,33,34,35,37,39,40,43,47,48,49",226.7327860605846,,0.09461664815616766,"2,7,25,40,43,49"
62,85.96167236448673,"1,3,5,16,17,20",52.13950131213065,"1,3,5,16,17,20",13.230925845099744,"1,2,3,5,6,7,13,14,16,17,20,23,26,27,29,30,32,35,36,39,41,43,45,46,47,49",208.91370224900646,,0.13061274139539317,"1,3,5,16,17,20"
63,91.9408796623078,"14,25,27,31,39,41,47",59.2634396270296,"25,27,31,39,41,47",26.553250786709263,"0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",580.4038773597856,"25,41",0.07226550069457895,"25,27,31,39,41,47"
64,89.83620271105718,"17,21,24,29,33,34,48",56.190218538914145,"21,24,29,33,34,48",11.400233944686795,"0,1,3,7,9,10,11,14,17,18,19,21,22,24,25,26,28,29,30,31,33,34,35,37,38,39,41,42,43,46,47,48",192.98948790755867,"29,34",0.060793426835723,"21,24,29,33,34,48"
65,87.8143851678719,"0,2,3,4,28,32,49",105.39810915103145,"2,3,4,28,49",6.096113107997016,"0,1,2,3,4,6,7,8,13,14,17,18,21,27,28,29,36,38,39,45,46,47,49",214.84636892823644,,0.08785613683947774,"0,2,3,4,28,49"
66,80.24690749860298,"17,22,31,32,40,49",51.144685951798365,"17,22,31,32,40,49",9.230102472439826,"0,1,3,5,6,7,9,10,12,15,17,18,19,22,23,24,25,28,29,30,31,32,33,34,37,39,40,42,43,45,46,48,49",206.22713755333004,,0.08759197687138924,"17,22,31,32,40,49"
